iter	Accuracy	Logloss
0	0.9633788745	0.5543299955
1	0.9633788745	0.4520127532
2	0.9633788745	0.3765290067
3	0.9633788745	0.3208657114
4	0.9633788745	0.2803598098
5	0.9633788745	0.2504909438
6	0.9633788745	0.2278914676
7	0.9633788745	0.2110397296
8	0.9633788745	0.1981593467
9	0.9633788745	0.1884372686
10	0.9633788745	0.1811866938
11	0.9633788745	0.1756621012
12	0.9633788745	0.1711981469
13	0.9633788745	0.1677169651
14	0.9633788745	0.1649531647
15	0.9633788745	0.1627735847
16	0.9633788745	0.1610511727
17	0.9633788745	0.1597502429
18	0.9633788745	0.1586431777
19	0.9633788745	0.157704092
20	0.9633788745	0.1569105919
21	0.9633788745	0.1562356762
22	0.9633788745	0.1557207557
23	0.9633788745	0.1552682986
24	0.9633788745	0.1548950456
25	0.9633788745	0.154607694
26	0.9633788745	0.1543528227
27	0.9633788745	0.1541290411
28	0.9633788745	0.1539848647
29	0.9633788745	0.1538589548
30	0.9633788745	0.1537327633
31	0.9633788745	0.1536368635
32	0.9633811146	0.153494004
33	0.9633811146	0.1533736464
34	0.9633811146	0.1532934388
35	0.9633811146	0.1532237863
36	0.9633811146	0.1531457119
37	0.9633811146	0.1530535368
38	0.9633811146	0.1529879152
39	0.9633811146	0.1529135614
40	0.9633855948	0.1528714605
41	0.9633855948	0.1528173992
42	0.9633855948	0.1528049734
43	0.9633855948	0.1527553308
44	0.9633878349	0.1527118165
45	0.963390075	0.1526648395
46	0.9633967953	0.1526382106
47	0.9633967953	0.1525934411
48	0.9633990354	0.152547545
49	0.9633990354	0.1525100109
50	0.9633990354	0.1524581808
51	0.9633990354	0.1524263853
52	0.9634012755	0.1523910913
53	0.9634012755	0.152359949
54	0.9634012755	0.1523202726
55	0.9634012755	0.152276185
56	0.9634012755	0.152253129
57	0.9634012755	0.1522319736
58	0.9634102359	0.1522164189
59	0.9634102359	0.1521760316
60	0.9634102359	0.1521516462
61	0.9634169562	0.1521121446
62	0.9634147161	0.1520885061
63	0.9634147161	0.152073816
64	0.9634147161	0.1520535546
65	0.9634147161	0.152021642
66	0.9634147161	0.1519951335
67	0.9634147161	0.1519635704
68	0.9634169562	0.1519464862
69	0.9634169562	0.1519234235
70	0.9634169562	0.1519074444
71	0.9634169562	0.1518850456
72	0.9634169562	0.1518627677
73	0.9634169562	0.1518429904
74	0.9634169562	0.15181111
75	0.9634169562	0.1517940522
76	0.9634169562	0.1517927354
77	0.9634169562	0.1517824467
78	0.9634169562	0.1517620902
79	0.9634169562	0.1517510707
80	0.9634169562	0.1517230709
81	0.9634169562	0.1516969916
82	0.9634169562	0.1516911195
83	0.9634169562	0.1516797486
84	0.9634169562	0.151657858
85	0.9634169562	0.1516352153
86	0.9634191963	0.1516249564
87	0.9634191963	0.1516240612
88	0.9634214364	0.1516080157
89	0.9634214364	0.1515951032
90	0.9634214364	0.1515941335
91	0.9634214364	0.1515789036
92	0.9634236765	0.151571747
93	0.9634236765	0.1515475626
94	0.9634236765	0.1515332681
95	0.9634259166	0.1515113552
96	0.9634259166	0.1514964124
97	0.9634259166	0.1514950351
98	0.9634259166	0.151468506
99	0.9634259166	0.1514660498
