iter	Passed	Remaining
0	257	25524
1	371	18179
2	457	14807
3	578	13873
4	663	12600
5	750	11765
6	840	11170
7	926	10653
8	1014	10253
9	1103	9930
10	1193	9658
11	1275	9354
12	1362	9121
13	1454	8932
14	1541	8735
15	1628	8551
16	1724	8417
17	1811	8253
18	1889	8056
19	1984	7937
20	2088	7856
21	2195	7783
22	2303	7713
23	2405	7618
24	2500	7501
25	2593	7380
26	2683	7255
27	2766	7112
28	2851	6982
29	2911	6792
30	2998	6675
31	3083	6552
32	3166	6428
33	3256	6321
34	3342	6207
35	3431	6100
36	3546	6039
37	3641	5941
38	3739	5849
39	3827	5741
40	3915	5634
41	4004	5529
42	4048	5366
43	4140	5269
44	4217	5154
45	4307	5056
46	4395	4956
47	4480	4854
48	4564	4751
49	4650	4650
50	4725	4539
51	4816	4445
52	4906	4350
53	4996	4256
54	5087	4162
55	5174	4065
56	5267	3973
57	5355	3877
58	5442	3782
59	5529	3686
60	5621	3594
61	5709	3499
62	5797	3405
63	5893	3315
64	5981	3220
65	6067	3125
66	6154	3031
67	6240	2936
68	6328	2843
69	6422	2752
70	6511	2659
71	6597	2565
72	6687	2473
73	6779	2382
74	6868	2289
75	6953	2195
76	7024	2098
77	7108	2004
78	7198	1913
79	7283	1820
80	7370	1728
81	7458	1637
82	7510	1538
83	7605	1448
84	7695	1358
85	7786	1267
86	7873	1176
87	7918	1079
88	8009	989
89	8096	899
90	8160	807
91	8247	717
92	8337	627
93	8426	537
94	8513	448
95	8602	358
96	8688	268
97	8757	178
98	8846	89
99	8899	0
